customerName,customerNumber,country,no_of_customer,total_order,warehousecode,productName
"Kelly's Gift Shop",496,"New Zealand",1,29,d,"Collectable Wooden Train"
"Kelly's Gift Shop",496,"New Zealand",1,31,d,"18th century schooner"
"Kelly's Gift Shop",496,"New Zealand",1,32,d,"The Schooner Bluenose"
"Kelly's Gift Shop",496,"New Zealand",1,26,d,"The Mayflower"
"Kelly's Gift Shop",496,"New Zealand",1,30,d,"The USS Constitution Ship"
"Kelly's Gift Shop",496,"New Zealand",1,35,d,"The Titanic"
"Kelly's Gift Shop",496,"New Zealand",1,31,d,"The Queen Mary"
"Kelly's Gift Shop",496,"New Zealand",1,31,d,"Pont Yacht"
"Euro+ Shopping Channel",141,Spain,5,157,d,"1954 Greyhound Scenicruiser"
"Oulu Toy Supplies, Inc.",311,Finland,1,29,d,"Pont Yacht"
"Oulu Toy Supplies, Inc.",311,Finland,1,37,d,"The Queen Mary"
"Double Decker Gift Stores, Ltd",489,UK,1,32,d,"1999 Yamaha Speed Boat"
"Online Diecast Creations Co.",363,USA,1,22,d,"1940 Ford Pickup Truck"
"Online Diecast Creations Co.",363,USA,1,27,d,"1958 Setra Bus"
"Double Decker Gift Stores, Ltd",489,UK,1,24,d,"HMS Bounty"
"Diecast Collectables",495,USA,1,34,d,"1957 Chevy Pickup"
"Dragon Souveniers, Ltd.",148,Singapore,1,49,d,"1940s Ford truck"
"Diecast Collectables",495,USA,1,43,d,"1964 Mercedes Tour Bus"
"Dragon Souveniers, Ltd.",148,Singapore,1,49,d,"1996 Peterbilt 379 Stake Bed with Outrigger"
"Royal Canadian Collectables, Ltd.",260,Canada,1,22,d,"The Titanic"
"Dragon Souveniers, Ltd.",148,Singapore,1,48,d,"1957 Chevy Pickup"
"Diecast Collectables",495,USA,1,37,d,"1926 Ford Fire Engine"
"Dragon Souveniers, Ltd.",148,Singapore,1,46,d,"1964 Mercedes Tour Bus"
"Dragon Souveniers, Ltd.",148,Singapore,1,31,d,"1926 Ford Fire Engine"
"Amica Models & Co.",249,Italy,1,22,d,"Collectable Wooden Train"
"Souveniers And Things Co.",282,Australia,1,38,d,"1940s Ford truck"
"Dragon Souveniers, Ltd.",148,Singapore,1,32,d,"1962 Volkswagen Microbus"
"Souveniers And Things Co.",282,Australia,1,43,d,"1940 Ford Pickup Truck"
"Souveniers And Things Co.",282,Australia,1,28,d,"1958 Setra Bus"
"Dragon Souveniers, Ltd.",148,Singapore,1,48,d,"1954 Greyhound Scenicruiser"
"Dragon Souveniers, Ltd.",148,Singapore,1,44,d,"1950's Chicago Surface Lines Streetcar"
"Dragon Souveniers, Ltd.",148,Singapore,1,48,d,"Diamond T620 Semi-Skirted Tanker"
"Diecast Collectables",495,USA,1,47,d,"1940s Ford truck"
giftsbymail.co.uk,240,UK,1,48,d,"Collectable Wooden Train"
"Diecast Collectables",495,USA,1,46,d,"1962 Volkswagen Microbus"
giftsbymail.co.uk,240,UK,1,46,d,"18th century schooner"
"Diecast Collectables",495,USA,1,49,d,"1980’s GM Manhattan Express"
"Diecast Collectables",495,USA,1,27,d,"1954 Greyhound Scenicruiser"
"Diecast Collectables",495,USA,1,45,d,"1950's Chicago Surface Lines Streetcar"
"Muscle Machine Inc",151,USA,2,72,d,"1957 Chevy Pickup"
"Diecast Collectables",495,USA,1,28,d,"Diamond T620 Semi-Skirted Tanker"
"Down Under Souveniers, Inc",323,"New Zealand",1,32,d,"1957 Chevy Pickup"
"Enaco Distributors",216,Spain,2,63,d,"The Titanic"
Gifts4AllAges.com,362,USA,1,47,d,"Pont Yacht"
Gifts4AllAges.com,362,USA,1,40,d,"The Queen Mary"
Gifts4AllAges.com,362,USA,1,34,d,"The Mayflower"
"Muscle Machine Inc",151,USA,2,78,d,"1954 Greyhound Scenicruiser"
Gifts4AllAges.com,362,USA,1,43,d,"18th century schooner"
"Muscle Machine Inc",151,USA,1,29,d,"1950's Chicago Surface Lines Streetcar"
"Muscle Machine Inc",151,USA,1,46,d,"Diamond T620 Semi-Skirted Tanker"
"Muscle Machine Inc",151,USA,1,46,d,"1962 City of Detroit Streetcar"
Gifts4AllAges.com,362,USA,1,48,d,"Collectable Wooden Train"
"Enaco Distributors",216,Spain,1,46,d,"1999 Yamaha Speed Boat"
Gifts4AllAges.com,362,USA,1,44,d,"1999 Yamaha Speed Boat"
"Enaco Distributors",216,Spain,1,41,d,"18th century schooner"
"Enaco Distributors",216,Spain,1,23,d,"The Schooner Bluenose"
Gifts4AllAges.com,362,USA,2,62,d,"The Titanic"
giftsbymail.co.uk,240,UK,1,26,d,"The Mayflower"
giftsbymail.co.uk,240,UK,1,48,d,"The Titanic"
giftsbymail.co.uk,240,UK,1,35,d,"The Queen Mary"
giftsbymail.co.uk,240,UK,1,24,d,"Pont Yacht"
"Enaco Distributors",216,Spain,1,24,d,"HMS Bounty"
"Enaco Distributors",216,Spain,1,50,d,"The USS Constitution Ship"
Gifts4AllAges.com,362,USA,2,75,d,"The USS Constitution Ship"
"Enaco Distributors",216,Spain,1,35,d,"The Queen Mary"
giftsbymail.co.uk,240,UK,1,21,d,"1999 Yamaha Speed Boat"
"Enaco Distributors",216,Spain,1,42,d,"Pont Yacht"
"AV Stores, Co.",187,UK,1,40,d,"Collectable Wooden Train"
"Diecast Classics Inc.",157,USA,1,45,d,"1950's Chicago Surface Lines Streetcar"
"Diecast Classics Inc.",157,USA,1,43,d,"1962 City of Detroit Streetcar"
"Australian Collectors, Co.",114,Australia,1,29,d,"1958 Setra Bus"
"Australian Collectors, Co.",114,Australia,1,42,d,"1940 Ford Pickup Truck"
"Diecast Classics Inc.",157,USA,1,25,d,"1958 Setra Bus"
"Australian Collectors, Co.",114,Australia,1,50,d,"1926 Ford Fire Engine"
"Diecast Classics Inc.",157,USA,1,41,d,"1957 Chevy Pickup"
"Diecast Classics Inc.",157,USA,1,48,d,"1964 Mercedes Tour Bus"
"Diecast Classics Inc.",157,USA,1,29,d,"1926 Ford Fire Engine"
"Diecast Classics Inc.",157,USA,1,25,d,"1940s Ford truck"
"Australian Collectors, Co.",114,Australia,1,45,d,"1940s Ford truck"
Gifts4AllAges.com,362,USA,2,63,d,"The Schooner Bluenose"
"Diecast Classics Inc.",157,USA,1,25,d,"1962 Volkswagen Microbus"
"Scandinavian Gift Ideas",448,Sweden,1,46,d,"1999 Yamaha Speed Boat"
"Diecast Classics Inc.",157,USA,1,29,d,"1980’s GM Manhattan Express"
"Diecast Classics Inc.",157,USA,1,31,d,"1954 Greyhound Scenicruiser"
"Diecast Classics Inc.",157,USA,1,36,d,"1996 Peterbilt 379 Stake Bed with Outrigger"
"Tekni Collectables Inc.",328,USA,1,29,d,"The USS Constitution Ship"
"Tekni Collectables Inc.",328,USA,1,36,d,"The Schooner Bluenose"
"Stylish Desk Decors, Co.",324,UK,1,29,d,"1996 Peterbilt 379 Stake Bed with Outrigger"
"Stylish Desk Decors, Co.",324,UK,1,50,d,"1954 Greyhound Scenicruiser"
"Stylish Desk Decors, Co.",324,UK,1,22,d,"1980’s GM Manhattan Express"
"Stylish Desk Decors, Co.",324,UK,1,28,d,"1962 Volkswagen Microbus"
"Technics Stores Inc.",161,USA,1,38,d,"1958 Setra Bus"
"Technics Stores Inc.",161,USA,1,32,d,"1940 Ford Pickup Truck"
GiftsForHim.com,357,"New Zealand",1,33,d,"The Mayflower"
GiftsForHim.com,357,"New Zealand",1,21,d,"1962 City of Detroit Streetcar"
GiftsForHim.com,357,"New Zealand",1,27,d,"1950's Chicago Surface Lines Streetcar"
GiftsForHim.com,357,"New Zealand",1,29,d,"Collectable Wooden Train"
"Technics Stores Inc.",161,USA,1,46,d,"1926 Ford Fire Engine"
"La Rochelle Gifts",119,France,1,35,d,"18th century schooner"
"Technics Stores Inc.",161,USA,1,40,d,"1940s Ford truck"
"La Rochelle Gifts",119,France,1,41,d,"The Schooner Bluenose"
"La Rochelle Gifts",119,France,1,31,d,"The Titanic"
"La Rochelle Gifts",119,France,1,37,d,"The Queen Mary"
"La Rochelle Gifts",119,France,1,40,d,"Pont Yacht"
"AV Stores, Co.",187,UK,1,29,d,"18th century schooner"
"Technics Stores Inc.",161,USA,1,47,d,"1962 Volkswagen Microbus"
"Reims Collectables",353,France,1,36,d,"HMS Bounty"
"Technics Stores Inc.",161,USA,1,26,d,"1980’s GM Manhattan Express"
"Technics Stores Inc.",161,USA,1,28,d,"1996 Peterbilt 379 Stake Bed with Outrigger"
"Boards & Toys Co.",219,USA,1,36,d,"The USS Constitution Ship"
"La Rochelle Gifts",119,France,1,33,d,"1957 Chevy Pickup"
"AV Stores, Co.",187,UK,1,46,d,"1950's Chicago Surface Lines Streetcar"
"La Rochelle Gifts",119,France,1,38,d,"1964 Mercedes Tour Bus"
"La Rochelle Gifts",119,France,1,19,d,"1926 Ford Fire Engine"
"AV Stores, Co.",187,UK,1,34,d,"1962 City of Detroit Streetcar"
"La Rochelle Gifts",119,France,1,38,d,"1940s Ford truck"
"AV Stores, Co.",187,UK,1,50,d,"The Schooner Bluenose"
"La Rochelle Gifts",119,France,1,49,d,"1962 Volkswagen Microbus"
"AV Stores, Co.",187,UK,1,38,d,"The Mayflower"
"La Rochelle Gifts",119,France,1,41,d,"1980’s GM Manhattan Express"
"La Rochelle Gifts",119,France,1,11,d,"1954 Greyhound Scenicruiser"
"La Rochelle Gifts",119,France,1,18,d,"Diamond T620 Semi-Skirted Tanker"
"AV Stores, Co.",187,UK,1,43,d,"The USS Constitution Ship"
"AV Stores, Co.",187,UK,1,32,d,"The Titanic"
"Baane Mini Imports",121,Norway,1,27,d,"1958 Setra Bus"
"Baane Mini Imports",121,Norway,1,35,d,"1940 Ford Pickup Truck"
"Baane Mini Imports",121,Norway,1,22,d,"1926 Ford Fire Engine"
"Stylish Desk Decors, Co.",324,UK,1,47,d,"1940s Ford truck"
"Stylish Desk Decors, Co.",324,UK,1,41,d,"1926 Ford Fire Engine"
"Stylish Desk Decors, Co.",324,UK,1,48,d,"1964 Mercedes Tour Bus"
"Stylish Desk Decors, Co.",324,UK,1,26,d,"1957 Chevy Pickup"
"Baane Mini Imports",121,Norway,1,36,d,"1940s Ford truck"
"Stylish Desk Decors, Co.",324,UK,1,32,d,"Pont Yacht"
"Baane Mini Imports",121,Norway,1,36,d,"1962 Volkswagen Microbus"
"Stylish Desk Decors, Co.",324,UK,1,30,d,"The Queen Mary"
"Baane Mini Imports",121,Norway,1,31,d,"1980’s GM Manhattan Express"
"Baane Mini Imports",121,Norway,1,45,d,"1996 Peterbilt 379 Stake Bed with Outrigger"
"AV Stores, Co.",187,UK,1,30,d,"The Queen Mary"
"Stylish Desk Decors, Co.",324,UK,1,42,d,"The Titanic"
"Stylish Desk Decors, Co.",324,UK,1,45,d,"The USS Constitution Ship"
"Reims Collectables",353,France,1,28,d,"1999 Yamaha Speed Boat"
"Reims Collectables",353,France,1,25,d,"1962 City of Detroit Streetcar"
"Reims Collectables",353,France,1,46,d,"Diamond T620 Semi-Skirted Tanker"
"Reims Collectables",353,France,1,22,d,"1950's Chicago Surface Lines Streetcar"
"Reims Collectables",353,France,1,36,d,"1954 Greyhound Scenicruiser"
"AV Stores, Co.",187,UK,1,35,d,"Pont Yacht"
"Stylish Desk Decors, Co.",324,UK,1,31,d,"The Schooner Bluenose"
"Stylish Desk Decors, Co.",324,UK,1,45,d,"18th century schooner"
"Down Under Souveniers, Inc",323,"New Zealand",1,31,d,"1996 Peterbilt 379 Stake Bed with Outrigger"
"Down Under Souveniers, Inc",323,"New Zealand",1,38,d,"1980’s GM Manhattan Express"
"Baane Mini Imports",121,Norway,1,38,d,"1954 Greyhound Scenicruiser"
"Baane Mini Imports",121,Norway,1,28,d,"1950's Chicago Surface Lines Streetcar"
"Baane Mini Imports",121,Norway,1,38,d,"Diamond T620 Semi-Skirted Tanker"
"Baane Mini Imports",121,Norway,1,44,d,"1962 City of Detroit Streetcar"
"Mini Gifts Distributors Ltd.",124,USA,3,95,d,"1958 Setra Bus"
"Mini Gifts Distributors Ltd.",124,USA,3,120,d,"1940 Ford Pickup Truck"
"Down Under Souveniers, Inc",323,"New Zealand",1,33,d,"1962 Volkswagen Microbus"
"Mini Gifts Distributors Ltd.",124,USA,3,101,d,"1996 Peterbilt 379 Stake Bed with Outrigger"
"Amica Models & Co.",249,Italy,1,21,d,"18th century schooner"
"Handji Gifts& Co",166,Singapore,2,65,d,"1926 Ford Fire Engine"
"Rovelli Gifts",278,Italy,2,71,d,"HMS Bounty"
"Handji Gifts& Co",166,Singapore,2,79,d,"1940s Ford truck"
"Handji Gifts& Co",166,Singapore,2,75,d,"1962 Volkswagen Microbus"
"Handji Gifts& Co",166,Singapore,2,66,d,"1980’s GM Manhattan Express"
"Handji Gifts& Co",166,Singapore,1,39,d,"1996 Peterbilt 379 Stake Bed with Outrigger"
"Amica Models & Co.",249,Italy,1,29,d,"The Mayflower"
"Clover Collections, Co.",189,Ireland,1,20,d,"1950's Chicago Surface Lines Streetcar"
"Handji Gifts& Co",166,Singapore,1,46,d,"1957 Chevy Pickup"
"Clover Collections, Co.",189,Ireland,1,37,d,"Diamond T620 Semi-Skirted Tanker"
"Clover Collections, Co.",189,Ireland,1,30,d,"1962 City of Detroit Streetcar"
"Oulu Toy Supplies, Inc.",311,Finland,1,34,d,"The Titanic"
"Oulu Toy Supplies, Inc.",311,Finland,1,41,d,"The USS Constitution Ship"
"Amica Models & Co.",249,Italy,1,32,d,"Pont Yacht"
"Handji Gifts& Co",166,Singapore,1,34,d,"1964 Mercedes Tour Bus"
"Anna's Decorations, Ltd",276,Australia,1,29,d,"1940s Ford truck"
"Oulu Toy Supplies, Inc.",311,Finland,1,32,d,"HMS Bounty"
"Oulu Toy Supplies, Inc.",311,Finland,1,44,d,"The Schooner Bluenose"
"Anna's Decorations, Ltd",276,Australia,2,66,d,"1926 Ford Fire Engine"
"Anna's Decorations, Ltd",276,Australia,1,22,d,"1964 Mercedes Tour Bus"
"Mini Gifts Distributors Ltd.",124,USA,3,82,d,"Collectable Wooden Train"
"Handji Gifts& Co",166,Singapore,1,40,d,"1954 Greyhound Scenicruiser"
"Handji Gifts& Co",166,Singapore,1,29,d,"Diamond T620 Semi-Skirted Tanker"
"Mini Gifts Distributors Ltd.",124,USA,2,82,d,"18th century schooner"
"Anna's Decorations, Ltd",276,Australia,2,56,d,"1940 Ford Pickup Truck"
"Mini Gifts Distributors Ltd.",124,USA,3,108,d,"1950's Chicago Surface Lines Streetcar"
"Mini Gifts Distributors Ltd.",124,USA,2,79,d,"1962 City of Detroit Streetcar"
"Mini Gifts Distributors Ltd.",124,USA,3,105,d,"The Schooner Bluenose"
"Mini Gifts Distributors Ltd.",124,USA,2,86,d,"The Mayflower"
"Mini Gifts Distributors Ltd.",124,USA,1,21,d,"The Titanic"
"Mini Gifts Distributors Ltd.",124,USA,1,38,d,"The Queen Mary"
"Mini Gifts Distributors Ltd.",124,USA,1,39,d,"Pont Yacht"
"Anna's Decorations, Ltd",276,Australia,2,88,d,"1958 Setra Bus"
"Royal Canadian Collectables, Ltd.",260,Canada,1,33,d,"Pont Yacht"
"Royal Canadian Collectables, Ltd.",260,Canada,1,20,d,"HMS Bounty"
"Royal Canadian Collectables, Ltd.",260,Canada,1,45,d,"The Schooner Bluenose"
"Heintze Collectables",227,Denmark,1,45,d,"1957 Chevy Pickup"
"Heintze Collectables",227,Denmark,1,23,d,"Collectable Wooden Train"
"Royal Canadian Collectables, Ltd.",260,Canada,1,38,d,"The Queen Mary"
"Heintze Collectables",227,Denmark,1,35,d,"1950's Chicago Surface Lines Streetcar"
"Heintze Collectables",227,Denmark,1,28,d,"Diamond T620 Semi-Skirted Tanker"
"Auto-Moto Classics Inc.",198,USA,1,40,d,"1999 Yamaha Speed Boat"
"Heintze Collectables",227,Denmark,1,38,d,"1962 City of Detroit Streetcar"
"Heintze Collectables",227,Denmark,1,23,d,"The Mayflower"
"Lyon Souveniers",250,France,1,46,d,"Diamond T620 Semi-Skirted Tanker"
"Lyon Souveniers",250,France,1,45,d,"1962 City of Detroit Streetcar"
"Auto Associés & Cie.",256,France,2,82,d,"1958 Setra Bus"
"Auto-Moto Classics Inc.",198,USA,1,23,d,"HMS Bounty"
"Down Under Souveniers, Inc",323,"New Zealand",1,30,d,"1940s Ford truck"
"Down Under Souveniers, Inc",323,"New Zealand",1,38,d,"1964 Mercedes Tour Bus"
"Mini Gifts Distributors Ltd.",124,USA,4,148,d,"1957 Chevy Pickup"
"Mini Gifts Distributors Ltd.",124,USA,2,76,d,"1964 Mercedes Tour Bus"
"Mini Gifts Distributors Ltd.",124,USA,3,94,d,"1926 Ford Fire Engine"
"Corporate Gift Ideas Co.",321,USA,1,49,d,"The Mayflower"
"Mini Gifts Distributors Ltd.",124,USA,3,108,d,"1940s Ford truck"
"Mini Gifts Distributors Ltd.",124,USA,4,131,d,"1962 Volkswagen Microbus"
"Oulu Toy Supplies, Inc.",311,Finland,1,22,d,"1999 Yamaha Speed Boat"
"Mini Gifts Distributors Ltd.",124,USA,4,121,d,"1980’s GM Manhattan Express"
"Mini Gifts Distributors Ltd.",124,USA,4,118,d,"1954 Greyhound Scenicruiser"
"Corporate Gift Ideas Co.",321,USA,1,28,d,"18th century schooner"
"Royal Canadian Collectables, Ltd.",260,Canada,1,42,d,"18th century schooner"
giftsbymail.co.uk,240,UK,1,45,d,"HMS Bounty"
"Corporate Gift Ideas Co.",321,USA,1,35,d,"1926 Ford Fire Engine"
"Mini Gifts Distributors Ltd.",124,USA,3,120,d,"Diamond T620 Semi-Skirted Tanker"
giftsbymail.co.uk,240,UK,1,48,d,"The USS Constitution Ship"
"Corporate Gift Ideas Co.",321,USA,1,48,d,"1940 Ford Pickup Truck"
"Auto Associés & Cie.",256,France,1,46,d,"1940 Ford Pickup Truck"
"Corporate Gift Ideas Co.",321,USA,1,20,d,"1958 Setra Bus"
"La Corne D'abondance, Co.",172,France,1,39,d,"1964 Mercedes Tour Bus"
"La Corne D'abondance, Co.",172,France,1,45,d,"1926 Ford Fire Engine"
"Québec Home Shopping Network",233,Canada,1,36,d,"18th century schooner"
"Rovelli Gifts",278,Italy,1,41,d,"1999 Yamaha Speed Boat"
"La Corne D'abondance, Co.",172,France,1,41,d,"1940s Ford truck"
"La Corne D'abondance, Co.",172,France,1,21,d,"1962 Volkswagen Microbus"
"La Corne D'abondance, Co.",172,France,1,32,d,"1980’s GM Manhattan Express"
"La Corne D'abondance, Co.",172,France,1,28,d,"1954 Greyhound Scenicruiser"
"Québec Home Shopping Network",233,Canada,1,34,d,"The Schooner Bluenose"
"Auto Associés & Cie.",256,France,1,36,d,"1996 Peterbilt 379 Stake Bed with Outrigger"
"Québec Home Shopping Network",233,Canada,1,44,d,"The USS Constitution Ship"
"Québec Home Shopping Network",233,Canada,1,25,d,"The Titanic"
"Québec Home Shopping Network",233,Canada,1,50,d,"The Queen Mary"
"Blauer See Auto, Co.",128,Germany,1,46,d,"1950's Chicago Surface Lines Streetcar"
"Blauer See Auto, Co.",128,Germany,1,34,d,"Diamond T620 Semi-Skirted Tanker"
"Blauer See Auto, Co.",128,Germany,1,43,d,"1962 City of Detroit Streetcar"
"La Corne D'abondance, Co.",172,France,1,38,d,"1957 Chevy Pickup"
"Alpha Cognac",242,France,1,41,d,"1999 Yamaha Speed Boat"
"Québec Home Shopping Network",233,Canada,1,29,d,"Pont Yacht"
"La Corne D'abondance, Co.",172,France,1,21,d,"Collectable Wooden Train"
"La Corne D'abondance, Co.",172,France,1,31,d,"1950's Chicago Surface Lines Streetcar"
"La Corne D'abondance, Co.",172,France,1,23,d,"Diamond T620 Semi-Skirted Tanker"
"Québec Home Shopping Network",233,Canada,1,40,d,"1958 Setra Bus"
"Cambridge Collectables Co.",173,USA,1,32,d,"1940 Ford Pickup Truck"
"Cambridge Collectables Co.",173,USA,1,40,d,"HMS Bounty"
"Blauer See Auto, Co.",128,Germany,1,47,d,"1940s Ford truck"
"Québec Home Shopping Network",233,Canada,1,27,d,"1940 Ford Pickup Truck"
"Québec Home Shopping Network",233,Canada,1,46,d,"1940s Ford truck"
"Québec Home Shopping Network",233,Canada,1,26,d,"1980’s GM Manhattan Express"
